TimeInterval,TradeCount,Volume,BATS Y,Direct Edge X,NYSE MKT,NYSE Arca SM,BATS,NASDAQ OMX
2014-03-13 09:33:14,1,10,0,0,10,0,0,0
2014-03-13 09:35:10,1,1,0,0,1,0,0,0
2014-03-13 09:47:40,1,1,0,0,1,0,0,0
2014-03-13 10:38:49,5,9,4,2,1,0,0,2
2014-03-13 10:38:53,2,3,0,0,3,0,0,0
2014-03-13 10:38:54,1,92,0,92,0,0,0,0
2014-03-13 10:43:17,1,3,0,0,3,0,0,0
2014-03-13 10:44:12,1,1,0,0,1,0,0,0
2014-03-13 10:44:13,2,2,0,0,0,0,0,2
2014-03-13 10:44:17,2,2,0,0,2,0,0,0
2014-03-13 10:45:09,1,3,0,3,0,0,0,0
2014-03-13 10:45:20,1,1,0,1,0,0,0,0
2014-03-13 10:45:21,2,2,0,2,0,0,0,0
2014-03-13 10:45:44,1,86,0,0,86,0,0,0
2014-03-13 10:45:50,1,10,0,10,0,0,0,0
2014-03-13 10:46:46,2,2,0,2,0,0,0,0
2014-03-13 10:47:01,1,5,0,5,0,0,0,0
2014-03-13 10:48:22,1,1,0,1,0,0,0,0
2014-03-13 10:48:23,1,1,0,0,1,0,0,0
2014-03-13 10:49:41,1,1,0,1,0,0,0,0
2014-03-13 10:50:40,2,2,0,2,0,0,0,0
2014-03-13 10:54:35,5,7,0,1,2,4,0,0
2014-03-13 10:58:10,5,5,0,2,0,1,2,0
2014-03-13 10:58:12,1,1,0,0,0,0,0,1
2014-03-13 10:59:37,2,2,0,0,0,0,1,1
2014-03-13 11:14:05,1,17,0,0,17,0,0,0
2014-03-13 11:14:24,1,1,0,0,1,0,0,0
2014-03-13 11:14:39,1,1,0,0,1,0,0,0
2014-03-13 11:14:40,1,1,0,0,1,0,0,0
2014-03-13 11:39:23,2,2,0,0,2,0,0,0
2014-03-13 12:50:08,2,3,0,0,3,0,0,0
2014-03-13 12:50:10,2,3,0,0,3,0,0,0
2014-03-13 12:55:01,1,1,0,1,0,0,0,0
2014-03-13 12:57:07,1,1,0,0,1,0,0,0
2014-03-13 13:14:07,1,1,0,0,1,0,0,0
2014-03-13 13:16:07,1,1,0,0,1,0,0,0
2014-03-13 13:21:39,1,1,0,0,0,1,0,0
2014-03-13 13:44:36,1,1,0,0,1,0,0,0
2014-03-13 14:03:25,1,1,0,1,0,0,0,0
2014-03-13 14:28:11,1,1,0,1,0,0,0,0
2014-03-13 15:14:34,1,1,0,1,0,0,0,0
2014-03-13 15:19:27,1,1,0,0,1,0,0,0
2014-03-13 15:21:40,5,5,0,3,1,0,0,1
2014-03-13 15:43:25,2,2,0,0,0,2,0,0
2014-03-13 15:49:37,1,100,0,0,0,100,0,0
2014-03-13 15:55:41,3,7,0,7,0,0,0,0
2014-03-13 15:56:28,1,1,0,0,1,0,0,0
2014-03-13 15:57:52,1,1,0,0,0,1,0,0
2014-03-13 15:58:45,3,3,0,2,0,0,1,0
2014-03-13 15:58:49,1,1,0,0,0,1,0,0
2014-03-13 15:59:01,1,1,0,0,0,1,0,0
2014-03-13 15:59:27,2,2,0,0,0,0,1,1
2014-03-13 15:59:49,1,1,0,1,0,0,0,0
2014-03-13 15:59:52,1,1,0,0,1,0,0,0
2014-03-13 15:59:55,1,1,0,0,0,0,1,0
